Gene Species Taxon Signature
0 G013298875 G013298875 0.0205890954341657
0 G001899385 G001899385 0.0205890954341657
0 G005110395 G005110395 0.0205890954341657
0 G002026165 G002026165 0.0010582927840461188
0 G017560095 G017560095 0.0010582927840461188
0 G900319365 G900319365 0.0010582927840461188
0 G003208885 G003208885 0.0010582927840461188
0 G902591865 G902591865 0.0010582927840461188
0 G003210235 G003210235 0.0010582927840461188
0 G009924885 G009924885 0.0010582927840461188
0 G018970325 G018970325 0.0010582927840461188
0 G900321205 G900321205 0.0010582927840461188
0 G902615165 G902615165 0.00021015925478594665
0 G017402995 G017402995 0.0010582927840461188
0 G002309425 G002309425 0.0010582927840461188
0 G910577635 G910577635 0.0010582927840461188
0 G017415185 G017415185 0.0010582927840461188
0 G902780525 G902780525 0.0010582927840461188
0 G005110385 G005110385 0.0010582927840461188
0 G902760905 G902760905 0.0010582927840461188
0 G902796305 G902796305 0.0010582927840461188
0 G902791985 G902791985 0.0010582927840461188
0 G015152565 G015152565 0.0010582927840461188
0 G902763805 G902763805 0.0010582927840461188
0 G902783125 G902783125 0.0010582927840461188
0 G902797575 G902797575 0.0010582927840461188
0 G902796515 G902796515 0.0010582927840461188
0 G902798645 G902798645 0.0010582927840461188
0 G902760645 G902760645 0.0010338449065360382
0 G905236775 G905236775 0.0010338449065360382
0 G902536555 G902536555 0.00021015925478594665
0 G003208695 G003208695 0.00021015925478594665
0 G905236505 G905236505 0.0010338449065360382
0 G017467305 G017467305 0.0010338449065360382
0 G902775025 G902775025 0.0010338449065360382
0 G902777855 G902777855 0.0010338449065360382
0 G902777385 G902777385 0.0010338449065360382
0 G902779645 G902779645 0.0010338449065360382
0 G017542305 G017542305 0.0010338449065360382
0 G900313115 G900313115 0.0010338449065360382
0 G002293275 G002293275 0.0010338449065360382
0 G902765215 G902765215 0.0010338449065360382
0 G017470815 G017470815 0.0010338449065360382
0 G902794035 G902794035 0.0010338449065360382
0 G016280955 G016280955 0.0010338449065360382
0 G017475485 G017475485 0.0010338449065360382
0 G902797965 G902797965 0.0010338449065360382
0 G902792085 G902792085 0.0010338449065360382
0 G902766975 G902766975 0.0010338449065360382
0 G002481545 G002481545 0.0010338449065360382
0 G902774905 G902774905 0.0010338449065360382
0 G017629215 G017629215 0.0010338449065360382
0 G900320675 G900320675 0.0010338449065360382
0 G902765655 G902765655 0.0010338449065360382
0 G902796585 G902796585 0.0010338449065360382
0 G013216135 G013216135 0.0010338449065360382
0 G902802825 G902802825 0.0010338449065360382
0 G902788345 G902788345 0.0010338449065360382
0 G902761735 G902761735 0.0010338449065360382
0 G903930015 G903930015 0.0008883313592384717
0 G016287985 G016287985 0.0008883313592384717
0 G002103075 G002103075 0.0010338449065360382
0 G002350725 G002350725 0.0010338449065360382
0 G902782905 G902782905 0.0008883313592384717
0 G902606255 G902606255 0.00014403864932227336
0 G902538695 G902538695 0.00014403864932227336
0 G017461425 G017461425 0.0008883313592384717
0 G017652265 G017652265 0.0008883313592384717
0 G902776035 G902776035 0.0008883313592384717
0 G017395765 G017395765 0.0008883313592384717
0 G905236055 G905236055 0.0008883313592384717
0 G902797985 G902797985 0.0008883313592384717
0 G017633675 G017633675 0.0004639855662862191
0 G017405375 G017405375 0.0004639855662862191
0 G902802935 G902802935 0.0004330110524483096
0 G902777605 G902777605 0.0004330110524483096
0 G017541565 G017541565 0.00042157693817854267
0 G902772945 G902772945 0.00042157693817854267
0 G018695135 G018695135 0.00042157693817854267
